frame_number, class_id, x1, y1, x2, y2, conf
0, 1, 198.72604370117188, 403.0940246582031, 229.87966918945312, 436.0234069824219, 0.8954437971115112
1, 1, 199.1553955078125, 403.0183868408203, 230.15032958984375, 436.56459045410156, 0.8961830735206604
2, 1, 199.05459594726562, 402.92591857910156, 230.208984375, 437.03248596191406, 0.8977077603340149
3, 1, 199.07855224609375, 402.96051025390625, 230.2398681640625, 437.10040283203125, 0.8978365659713745
4, 1, 198.586669921875, 403.16937255859375, 230.63226318359375, 437.38629150390625, 0.900345504283905
5, 1, 198.63015747070312, 403.1307678222656, 230.85781860351562, 437.0747985839844, 0.8981267213821411
5, 0, 628.6394653320312, 418.8591003417969, 640.0, 432.3926086425781, 0.25167402625083923
6, 1, 198.33790588378906, 403.0101623535156, 230.53892517089844, 436.6207580566406, 0.8978439569473267
7, 1, 197.92636108398438, 402.9163513183594, 230.75405883789062, 436.8057861328125, 0.898447573184967
8, 1, 197.4151611328125, 402.63145446777344, 230.88165283203125, 437.6884307861328, 0.9032793641090393
9, 1, 197.38888549804688, 402.6375427246094, 230.89669799804688, 437.6858215332031, 0.9032202959060669
10, 1, 198.02578735351562, 402.81939697265625, 230.77200317382812, 437.48345947265625, 0.8987440466880798
11, 1, 197.8887939453125, 403.0238037109375, 230.29232788085938, 437.0345764160156, 0.8978167176246643
12, 1, 197.37460327148438, 403.0047607421875, 230.11782836914062, 436.21563720703125, 0.897292971611023
13, 1, 197.12844848632812, 403.0950622558594, 230.13992309570312, 435.6874084472656, 0.8979679346084595
13, 0, 628.6333618164062, 419.3634948730469, 639.9136352539062, 432.678955078125, 0.31581777334213257
14, 1, 196.65682983398438, 403.0807189941406, 229.33602905273438, 435.52081298828125, 0.9002947807312012
14, 0, 628.4529418945312, 419.425537109375, 639.8556518554688, 432.6097106933594, 0.3167571723461151
15, 1, 196.67697143554688, 403.07518005371094, 229.32980346679688, 435.5184783935547, 0.9003134965896606
15, 0, 628.4625854492188, 419.452880859375, 639.8513793945312, 432.59600830078125, 0.3076080083847046
16, 1, 196.32943725585938, 402.829833984375, 229.41567993164062, 435.1871337890625, 0.903081476688385
16, 0, 628.2741088867188, 419.368896484375, 639.8117065429688, 432.497802734375, 0.2766788899898529
17, 1, 197.6104736328125, 402.6991729736328, 229.40997314453125, 435.6517791748047, 0.8990541100502014
18, 1, 198.30154418945312, 402.7141418457031, 229.76687622070312, 437.2352600097656, 0.9012663960456848
18, 0, 628.3707275390625, 419.246826171875, 639.8216552734375, 432.3265380859375, 0.283039391040802
19, 1, 198.78564453125, 402.65049743652344, 229.68115234375, 437.46046447753906, 0.8988094329833984
20, 1, 198.728515625, 403.0037078857422, 229.867919921875, 437.7947235107422, 0.8963524103164673
20, 0, 628.826416015625, 419.46356201171875, 639.871337890625, 432.6783447265625, 0.29769718647003174
21, 1, 198.73324584960938, 403.03163146972656, 229.86190795898438, 437.7816925048828, 0.8960923552513123
