frame_number,class_id,x1,y1,x2,y2,conf
0,0,607.406494140625,489.26300048828125,639.981201171875,543.1578979492188,0.7353166937828064
3,0,560.6967163085938,500.49462890625,602.4309692382812,543.315673828125,0.28045815229415894
4,0,581.079833984375,503.2467041015625,618.72607421875,538.029541015625,0.4888548254966736
5,0,534.4461669921875,502.7210388183594,572.0150146484375,542.9230651855469,0.7839813232421875
6,0,514.5113525390625,500.1416015625,556.1578369140625,547.3984375,0.5278054475784302
14,0,357.6893310546875,481.8723449707031,393.07977294921875,515.7929992675781,0.5781267881393433
19,0,444.00408935546875,353.15118408203125,484.44146728515625,393.21343994140625,0.31793972849845886
45,0,369.65185546875,466.27044677734375,404.2078857421875,501.675048828125,0.6171014308929443
46,0,369.9364013671875,465.1690673828125,404.6817626953125,501.60400390625,0.4791918396949768
71,0,77.10699462890625,837.892822265625,140.4510498046875,859.979248046875,0.5014874935150146
74,0,135.82054138183594,833.4405517578125,207.04844665527344,860.0,0.3692808747291565
75,0,135.5568389892578,833.302490234375,207.63047790527344,860.0,0.3766271471977234
94,1,12.081809997558594,230.79954528808594,90.57009887695312,309.0708770751953,0.5192161202430725
95,1,29.042238235473633,231.17027282714844,92.7774658203125,308.80223083496094,0.7921770811080933
96,1,47.11048126220703,231.16828155517578,113.48035430908203,308.0667953491211,0.8376256227493286
97,1,68.59541320800781,231.10723876953125,131.7338104248047,307.62721252441406,0.8144217729568481
98,1,84.8101806640625,230.29273986816406,149.18438720703125,306.4746551513672,0.8694968223571777
99,1,99.853515625,230.32546997070312,170.12057495117188,307.20169830322266,0.8596521615982056
100,1,118.09547424316406,230.19109344482422,186.90968322753906,306.8576965332031,0.8585776090621948
101,1,131.15966796875,230.0881805419922,201.24102783203125,306.67555236816406,0.8720049262046814
102,1,143.97244262695312,231.47115325927734,205.00936889648438,309.8187942504883,0.8238715529441833
103,1,155.4141845703125,231.6345443725586,217.7806396484375,308.82617950439453,0.8386554718017578
104,1,166.79013061523438,231.9419708251953,230.82644653320312,309.232421875,0.844754159450531
105,1,181.10464477539062,232.53459930419922,242.35665893554688,309.7966766357422,0.8324631452560425
106,1,195.10330200195312,233.66482543945312,257.3420715332031,310.41434478759766,0.8207694292068481
107,1,204.63204956054688,234.37844848632812,267.7593078613281,311.0465545654297,0.8570054769515991
108,1,215.3243408203125,234.33901977539062,278.9349670410156,311.0262451171875,0.8538593649864197
109,1,228.9940185546875,234.50926208496094,293.396240234375,311.9199523925781,0.8551135063171387
110,1,240.02099609375,235.76791381835938,304.55059814453125,312.73619079589844,0.8496535420417786
111,1,250.48374938964844,235.89449310302734,313.291015625,312.05674743652344,0.8439583778381348
112,1,264.0146484375,236.44549560546875,327.2808837890625,313.1134338378906,0.8573272824287415
113,1,273.30230712890625,237.1597137451172,337.86981201171875,312.5393524169922,0.8685186505317688
114,1,284.59222412109375,236.9098129272461,346.23956298828125,312.9982604980469,0.836164653301239
115,1,294.66619873046875,237.87928771972656,359.27862548828125,312.85089111328125,0.8710819482803345
116,1,302.61029052734375,237.06979370117188,364.40863037109375,310.35227966308594,0.8384388089179993
117,1,321.1809997558594,239.07662963867188,385.8505554199219,311.8432312011719,0.8582735657691956
118,1,335.38372802734375,239.71053314208984,400.70806884765625,314.6321716308594,0.8583751916885376
119,1,345.47613525390625,239.81173706054688,410.58697509765625,313.7153015136719,0.8433492183685303
120,1,356.3268737792969,240.12283325195312,418.5896911621094,314.4351348876953,0.8357623219490051
121,1,369.07781982421875,242.4554672241211,432.39190673828125,317.8197708129883,0.849938154220581
122,1,379.5142822265625,243.9616470336914,440.92041015625,318.84046936035156,0.8044993281364441
123,1,388.903564453125,245.2453155517578,448.44061279296875,319.55747985839844,0.8198567032814026
124,1,396.6512451171875,246.63770294189453,457.7833251953125,321.22032928466797,0.8344830274581909
125,1,402.27447509765625,248.15453720092773,464.82025146484375,321.97021484375,0.8256332278251648
126,1,407.97314453125,249.459716796875,469.159423828125,316.6876220703125,0.828222393989563
127,1,413.9131164550781,251.0010528564453,474.3934631347656,306.9547653198242,0.8478740453720093
128,1,418.6557312011719,254.40957260131836,479.9043884277344,329.080810546875,0.8599613308906555
129,1,424.2249755859375,257.744441986084,483.796630859375,330.4363098144531,0.8456470370292664
130,1,423.86328125,257.6058044433594,483.83258056640625,329.6926574707031,0.8395381569862366
131,1,434.7435607910156,262.966796875,494.1684875488281,337.6150817871094,0.8361650109291077
132,1,437.14337158203125,265.4580307006836,497.21832275390625,339.29373931884766,0.823888897895813
133,1,442.12939453125,268.24195861816406,503.0980224609375,338.67144775390625,0.8375236988067627
134,1,444.6138916015625,270.52394104003906,506.1422119140625,339.66859436035156,0.8314160704612732
135,1,446.966064453125,273.68607330322266,507.5430908203125,334.51102447509766,0.8329484462738037
136,1,449.00555419921875,275.2851867675781,510.31463623046875,334.78167724609375,0.8273875713348389
137,1,449.49200439453125,277.2404022216797,512.2833251953125,352.82110595703125,0.8386133909225464
138,1,449.3717041015625,279.20444107055664,512.4571533203125,353.9586181640625,0.8373926281929016
139,1,449.04736328125,281.0751152038574,512.1179809570312,355.3144073486328,0.8520405888557434
140,1,448.03662109375,282.61532974243164,512.87548828125,357.63916015625,0.8497020602226257
141,1,447.19708251953125,283.9178161621094,511.89996337890625,359.0272979736328,0.8531000018119812
142,1,444.1468505859375,286.6174621582031,509.1929931640625,359.7355194091797,0.8582217693328857
143,1,442.2960510253906,286.82972717285156,507.3833923339844,345.7759552001953,0.8525978326797485
144,1,439.24127197265625,289.28260803222656,503.45294189453125,356.39622497558594,0.83734530210495
