0,1,387.60,536.62,35.29,121.38,1.68,1.00
0,2,669.19,524.99,42.76,104.99,1.68,1.00
0,3,1366.52,527.73,49.75,89.23,1.66,1.00
0,4,1205.56,602.02,60.66,145.95,1.64,1.00
0,5,1505.08,542.96,54.98,101.34,1.61,1.00
0,6,732.06,503.04,39.59,80.41,1.61,1.00
0,7,1414.57,613.21,51.21,157.27,1.60,1.00
0,8,849.54,491.35,28.50,95.91,1.55,1.00
0,9,1034.64,499.48,68.38,110.34,1.48,0.00
0,10,490.50,505.00,25.87,91.10,1.45,1.00
0,11,1415.04,612.90,68.26,139.42,1.44,0.00
0,12,1462.90,595.93,58.96,113.31,1.43,1.00
0,13,636.56,512.18,26.26,86.85,1.43,1.00
0,14,1032.36,544.86,46.61,153.00,1.36,0.00
0,15,1447.29,554.64,47.44,130.68,1.28,1.00
0,16,1421.09,597.73,100.92,122.26,1.03,1.00
0,17,1416.89,606.94,81.10,121.76,0.98,0.00
0,18,670.33,514.45,41.24,87.79,0.96,1.00
0,19,1452.46,545.30,65.29,123.07,0.92,1.00
1,1,387.76,536.62,35.16,121.32,1.68,1.00
1,2,669.16,525.02,42.99,104.93,1.68,1.00
1,3,1366.51,527.73,49.82,89.61,1.66,1.00
1,4,1205.52,602.02,60.67,145.87,1.65,0.00
1,5,1505.22,542.86,54.67,101.60,1.60,1.00
1,6,732.07,503.00,39.61,80.48,1.61,1.00
1,7,1414.59,613.17,51.03,157.34,1.61,0.00
1,8,849.60,491.41,28.40,95.91,1.55,1.00
1,9,1034.54,498.10,68.42,111.82,1.48,0.00
1,10,490.49,505.07,25.82,91.10,1.44,1.00
1,11,1415.17,612.72,67.83,136.93,1.45,0.00
1,12,1460.62,595.93,61.16,113.38,1.44,1.00
1,13,636.50,512.18,26.31,86.81,1.42,1.00
1,14,1032.27,544.37,46.67,153.49,1.24,0.00
1,15,1447.13,554.55,47.27,130.88,1.29,1.00
1,16,1420.78,597.72,101.15,122.62,1.03,1.00
1,17,1417.12,605.94,82.82,122.09,0.96,0.00
1,18,670.12,514.39,41.46,87.79,0.90,1.00
1,19,1452.77,545.28,65.29,123.77,0.93,1.00
2,1,386.83,536.61,35.82,121.14,1.69,1.00
2,2,669.28,524.66,43.24,105.66,1.68,1.00
2,3,1367.18,527.95,48.77,89.18,1.67,1.00
2,4,1205.43,600.47,62.01,147.72,1.60,0.00
2,5,1505.15,543.14,55.60,102.24,1.44,1.00
2,6,731.05,502.97,40.04,80.39,1.60,1.00
2,7,1410.15,612.25,49.90,157.56,1.60,0.00
2,8,849.64,491.50,28.09,95.70,1.58,1.00
2,9,1037.02,501.72,65.61,109.04,1.18,0.00
2,10,490.49,502.06,25.35,94.27,1.19,1.00
2,12,1445.82,596.89,80.37,110.19,1.33,1.00
2,13,634.26,489.86,29.07,109.60,1.28,1.00
2,14,1032.17,547.02,48.85,151.09,1.04,0.00
2,15,1445.17,554.41,47.93,129.80,0.93,1.00
2,17,1414.02,608.33,70.92,123.05,0.84,0.00
2,18,665.74,505.77,46.74,95.39,0.62,1.00
2,19,1454.76,545.73,71.64,131.28,0.97,1.00
2,20,580.33,569.79,56.22,122.11,1.27,1.00
2,21,480.52,480.53,35.10,116.81,1.07,1.00
3,1,387.20,536.43,35.24,121.58,1.69,1.00
3,2,669.81,524.15,42.62,106.41,1.67,1.00
3,3,1336.06,506.23,44.05,92.34,0.73,1.00
3,4,1204.99,600.03,62.85,150.00,1.52,0.00
3,5,1504.28,543.12,58.73,105.75,1.24,1.00
3,6,729.15,502.93,42.09,80.19,1.59,0.00
3,7,1367.22,528.12,51.89,90.13,1.62,1.00
3,8,848.02,492.06,29.33,94.91,1.58,1.00
3,10,491.51,505.48,24.37,90.51,1.33,1.00
3,12,1453.35,598.21,76.01,110.28,1.37,1.00
3,13,637.37,511.99,25.84,86.55,1.41,1.00
3,14,1032.07,545.42,55.38,152.60,1.27,0.00
3,15,1443.69,556.32,47.39,128.12,1.28,1.00
3,17,1413.58,611.54,66.29,120.55,0.57,0.00
3,18,580.47,570.08,55.96,120.73,1.58,1.00
3,19,1451.68,557.46,78.65,134.77,0.62,1.00
3,11,1409.40,611.74,50.26,157.68,1.62,0.00
4,1,386.28,536.45,35.79,121.29,1.69,1.00
4,2,673.42,525.49,39.06,104.99,1.66,1.00
4,3,1331.03,499.80,48.20,95.88,1.27,1.00
4,4,1205.39,599.92,62.82,145.38,1.66,0.00
4,5,1504.05,545.63,59.56,103.14,1.09,1.00
4,6,728.08,503.02,42.60,80.61,1.60,1.00
4,7,1367.55,527.99,49.75,89.66,1.65,1.00
4,8,847.50,491.98,29.67,94.99,1.59,1.00
4,10,491.88,505.41,24.26,90.29,1.39,1.00
4,12,1472.29,585.22,63.11,97.40,0.61,1.00
4,13,638.25,509.97,25.42,88.60,1.30,1.00
4,14,1031.91,545.04,48.31,152.51,1.18,0.00
4,15,1442.11,555.90,54.46,124.78,1.38,1.00
4,17,1407.56,610.57,69.28,136.29,1.23,0.00
4,18,574.73,569.99,61.51,121.47,1.62,1.00
4,19,1440.94,538.56,52.66,107.40,0.67,1.00
4,11,1406.89,610.23,52.73,159.52,1.62,0.00
4,16,1477.19,597.35,56.77,110.14,1.44,1.00
4,9,1037.99,501.89,64.51,107.42,0.82,0.00
5,1,386.53,536.53,35.34,120.81,1.68,1.00
5,2,675.35,525.56,37.67,104.63,1.65,1.00
5,3,1324.73,496.54,53.96,104.01,1.37,1.00
5,4,1205.03,600.22,64.09,146.33,1.58,0.00
5,5,1506.63,546.22,57.10,103.69,0.92,1.00
5,6,728.18,503.09,41.56,79.20,1.56,1.00
5,7,1368.46,528.05,49.02,89.87,1.66,1.00
5,8,846.06,491.73,30.98,95.36,1.59,1.00
5,10,491.56,504.93,24.79,90.69,1.32,1.00
5,12,1481.31,599.48,43.67,107.62,1.36,1.00
5,13,636.74,510.59,25.78,88.13,1.26,1.00
5,14,1031.78,543.09,50.75,155.05,1.09,0.00
5,15,1440.63,555.57,45.83,123.51,1.41,1.00
5,18,575.21,570.06,60.48,121.76,1.61,1.00
5,19,1473.18,587.73,62.40,89.77,0.91,1.00
5,11,1404.68,609.69,52.21,160.26,1.64,0.00
5,16,1484.62,599.17,50.41,77.10,0.70,1.00
5,9,1035.46,503.63,67.51,105.21,0.24,0.00
